ベンダ,"GRAPHTEC Corporation"
モデル,"GL840"
バージョン,"Ver1.61  "
最大CH数,20
GS開始CH,20
WL開始CH,20
RT開始CH,20
WLユニット,Off,Off,Off,Off,Off
RTユニット,Off,Off,Off,Off,Off
RT最大CH,0,0,0,0,0
最大ロジックCH数,4
Logic/Pulse,Off,Off,Off,Off,Off,Off,Off
温度単位,C
測定間隔,5min
測定点数,284       
トリガ点,0         
開始時刻,2024-12-26,16:42:47
終了時刻,2024-12-27,16:17:51
トリガ時刻,2024-12-26,16:42:51
アンプ設定
CH,信号名,アンプ,入力,レンジ,温度レンジ,フィルタ,スパン,,単位,線色,,,線幅
CH1," CH1","M",TEMP,PT,100degC,Off,+50.00,-60.00,[degC],28,5,6,0
CH2," CH2","M",TEMP,PT1000,100degC,Off,+50.00,-60.00,[degC],0,13,23,0
CH3," CH3","M",TEMP,PT,100degC,Off,+50.00,-60.00,[degC],9,22,8,0
CH4," CH4","M",TEMP,PT,100degC,Off,+50.00,-60.00,[degC],21,0,21,0
CH5," CH5","M",TEMP,PT,100degC,Off,+50.00,-60.00,[degC],28,16,2,0
CH6," CH6","M",TEMP,PT,100degC,Off,+50.00,-60.00,[degC],5,23,30,0
CH7," CH7","M",TEMP,PT1000,100degC,Off,+50.00,-60.00,[degC],30,23,1,0
演算設定
CH,左項,演算子,右項,スケーリング,スパン,,単位
測定値
番号,日付/時間,ms,CH1,CH2,CH3,CH4,CH5,CH6,CH7,Alarm1-10,Alarm11-20,AlarmOut
       112,2024/12/27 01:57:51,  0,-------,+++++++,+ 18.80,+ 21.51,+ 19.27,+ 20.30,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       113,2024/12/27 02:02:51,  0,-------,+++++++,+ 19.19,+ 21.38,+ 19.37,+ 20.37,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       114,2024/12/27 02:07:51,  0,-------,+++++++,+ 18.86,+ 21.51,+ 19.29,+ 20.35,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       115,2024/12/27 02:12:51,  0,-------,+++++++,+ 18.86,+ 21.48,+ 19.24,+ 20.32,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       116,2024/12/27 02:17:51,  0,-------,+++++++,+ 18.88,+ 21.51,+ 19.22,+ 20.30,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       117,2024/12/27 02:22:51,  0,-------,+++++++,+ 18.88,+ 21.51,+ 19.19,+ 20.30,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       118,2024/12/27 02:27:51,  0,-------,+++++++,+ 18.88,+ 21.51,+ 19.22,+ 20.30,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       119,2024/12/27 02:32:51,  0,-------,+++++++,+ 18.80,+ 21.38,+ 19.27,+ 20.30,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       120,2024/12/27 02:37:51,  0,-------,+++++++,+ 19.06,+ 21.51,+ 19.32,+ 20.35,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       121,2024/12/27 02:42:51,  0,-------,+++++++,+ 18.83,+ 21.51,+ 19.22,+ 20.27,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       122,2024/12/27 02:47:51,  0,-------,+++++++,+ 18.88,+ 21.51,+ 19.16,+ 20.27,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       123,2024/12/27 02:52:51,  0,-------,+++++++,+ 19.71,+ 21.51,+ 19.60,+ 20.48,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       124,2024/12/27 02:57:51,  0,-------,+++++++,+ 18.96,+ 21.48,+ 19.32,+ 20.32,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       125,2024/12/27 03:02:51,  0,-------,+++++++,+ 18.83,+ 21.46,+ 19.27,+ 20.30,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       126,2024/12/27 03:07:51,  0,-------,+++++++,+ 19.06,+ 21.48,+ 19.45,+ 20.35,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       127,2024/12/27 03:12:51,  0,-------,+++++++,+ 18.86,+ 21.53,+ 19.27,+ 20.32,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       128,2024/12/27 03:17:51,  0,-------,+++++++,+ 18.80,+ 21.51,+ 19.24,+ 20.30,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       129,2024/12/27 03:22:51,  0,-------,+++++++,+ 19.42,+ 21.40,+ 19.45,+ 20.48,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       130,2024/12/27 03:27:51,  0,-------,+++++++,+ 18.88,+ 21.51,+ 19.27,+ 20.32,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       131,2024/12/27 03:32:51,  0,-------,+++++++,+ 18.93,+ 21.46,+ 19.42,+ 20.37,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       132,2024/12/27 03:37:51,  0,-------,+++++++,+ 18.96,+ 21.53,+ 19.32,+ 20.35,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       133,2024/12/27 03:42:51,  0,-------,+++++++,+ 18.93,+ 21.58,+ 19.24,+ 20.35,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       134,2024/12/27 03:47:51,  0,-------,+++++++,+ 18.80,+ 21.48,+ 19.32,+ 20.32,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       135,2024/12/27 03:52:51,  0,-------,+++++++,+ 19.09,+ 21.48,+ 19.35,+ 20.35,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       136,2024/12/27 03:57:51,  0,-------,+++++++,+ 19.04,+ 21.48,+ 19.50,+ 20.40,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       137,2024/12/27 04:02:51,  0,-------,+++++++,+ 18.96,+ 21.53,+ 19.29,+ 20.35,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       138,2024/12/27 04:07:51,  0,-------,+++++++,+ 18.83,+ 21.48,+ 19.32,+ 20.30,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       139,2024/12/27 04:12:51,  0,-------,+++++++,+ 19.40,+ 21.40,+ 19.58,+ 20.45,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       140,2024/12/27 04:17:51,  0,-------,+++++++,+ 18.91,+ 21.56,+ 19.32,+ 20.35,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       141,2024/12/27 04:22:51,  0,-------,+++++++,+ 19.40,+ 21.46,+ 19.42,+ 20.48,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       142,2024/12/27 04:27:51,  0,-------,+++++++,+ 18.91,+ 21.51,+ 19.29,+ 20.35,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       143,2024/12/27 04:32:51,  0,-------,+++++++,+ 18.96,+ 21.46,+ 19.47,+ 20.35,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       144,2024/12/27 04:37:51,  0,-------,+++++++,+ 18.91,+ 21.53,+ 19.37,+ 20.35,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       145,2024/12/27 04:42:51,  0,-------,+++++++,+ 18.93,+ 21.56,+ 19.29,+ 20.35,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       146,2024/12/27 04:47:51,  0,-------,+++++++,+ 18.83,+ 21.51,+ 19.29,+ 20.35,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       147,2024/12/27 04:52:51,  0,-------,+++++++,+ 19.09,+ 21.51,+ 19.55,+ 20.43,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       148,2024/12/27 04:57:51,  0,-------,+++++++,+ 18.83,+ 21.53,+ 19.32,+ 20.32,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       149,2024/12/27 05:02:51,  0,-------,+++++++,+ 19.22,+ 21.69,+ 19.58,+ 20.43,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       150,2024/12/27 05:07:51,  0,-------,+++++++,+ 18.91,+ 21.61,+ 19.32,+ 20.37,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       151,2024/12/27 05:12:51,  0,-------,+++++++,+ 18.96,+ 21.61,+ 19.32,+ 20.35,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       152,2024/12/27 05:17:51,  0,-------,+++++++,+ 18.86,+ 21.51,+ 19.42,+ 20.35,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       153,2024/12/27 05:22:51,  0,-------,+++++++,+ 19.22,+ 21.53,+ 19.47,+ 20.43,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       154,2024/12/27 05:27:51,  0,-------,+++++++,+ 18.93,+ 21.51,+ 19.45,+ 20.40,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       155,2024/12/27 05:32:51,  0,-------,+++++++,+ 19.04,+ 21.51,+ 19.45,+ 20.40,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       156,2024/12/27 05:37:51,  0,-------,+++++++,+ 18.91,+ 21.58,+ 19.32,+ 20.35,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       157,2024/12/27 05:42:51,  0,-------,+++++++,+ 19.04,+ 21.43,+ 19.47,+ 20.40,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       158,2024/12/27 05:47:51,  0,-------,+++++++,+ 19.01,+ 21.56,+ 19.35,+ 20.40,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       159,2024/12/27 05:52:51,  0,-------,+++++++,+ 18.93,+ 21.61,+ 19.32,+ 20.37,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       160,2024/12/27 05:57:51,  0,-------,+++++++,+ 18.91,+ 21.51,+ 19.47,+ 20.35,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       161,2024/12/27 06:02:51,  0,-------,+++++++,+ 18.91,+ 21.56,+ 19.35,+ 20.35,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       162,2024/12/27 06:07:51,  0,-------,+++++++,+ 18.96,+ 21.51,+ 19.47,+ 20.40,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       163,2024/12/27 06:12:51,  0,-------,+++++++,+ 18.93,+ 21.53,+ 19.32,+ 20.35,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       164,2024/12/27 06:17:51,  0,-------,+++++++,+ 18.98,+ 21.61,+ 19.32,+ 20.35,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       165,2024/12/27 06:22:51,  0,-------,+++++++,+ 18.91,+ 21.51,+ 19.35,+ 20.32,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       166,2024/12/27 06:27:51,  0,-------,+++++++,+ 19.01,+ 21.51,+ 19.53,+ 20.35,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       167,2024/12/27 06:32:51,  0,-------,+++++++,+ 18.93,+ 21.61,+ 19.32,+ 20.35,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       168,2024/12/27 06:37:51,  0,-------,+++++++,+ 18.93,+ 21.51,+ 19.45,+ 20.40,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       169,2024/12/27 06:42:51,  0,-------,+++++++,+ 18.98,+ 21.53,+ 19.50,+ 20.40,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       170,2024/12/27 06:47:51,  0,-------,+++++++,+ 18.98,+ 21.58,+ 19.32,+ 20.35,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       171,2024/12/27 06:52:51,  0,-------,+++++++,+ 18.96,+ 21.58,+ 19.29,+ 20.35,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       172,2024/12/27 06:57:51,  0,-------,+++++++,+ 18.88,+ 21.51,+ 19.29,+ 20.35,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       173,2024/12/27 07:02:51,  0,-------,+++++++,+ 19.45,+ 21.61,+ 19.65,+ 20.58,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       174,2024/12/27 07:07:51,  0,-------,+++++++,+ 19.04,+ 21.64,+ 19.40,+ 20.45,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       175,2024/12/27 07:12:51,  0,-------,+++++++,+ 19.04,+ 21.51,+ 19.55,+ 20.45,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       176,2024/12/27 07:17:51,  0,-------,+++++++,+ 19.06,+ 21.69,+ 19.42,+ 20.43,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       177,2024/12/27 07:22:51,  0,-------,+++++++,+ 19.04,+ 21.53,+ 19.58,+ 20.48,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       178,2024/12/27 07:27:51,  0,-------,+++++++,+ 19.04,+ 21.64,+ 19.40,+ 20.43,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       179,2024/12/27 07:32:51,  0,-------,+++++++,+ 19.01,+ 21.66,+ 19.35,+ 20.43,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       180,2024/12/27 07:37:51,  0,-------,+++++++,+ 19.71,+ 21.64,+ 19.58,+ 20.53,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       181,2024/12/27 07:42:51,  0,-------,+++++++,+ 19.06,+ 21.64,+ 19.42,+ 20.48,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       182,2024/12/27 07:47:51,  0,-------,+++++++,+ 19.01,+ 21.66,+ 19.40,+ 20.48,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       183,2024/12/27 07:52:51,  0,-------,+++++++,+ 18.98,+ 21.66,+ 19.42,+ 20.43,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       184,2024/12/27 07:57:51,  0,-------,+++++++,+ 19.86,+ 21.64,+ 19.60,+ 20.74,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       185,2024/12/27 08:02:51,  0,-------,+++++++,+ 19.04,+ 21.69,+ 19.42,+ 20.48,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       186,2024/12/27 08:07:51,  0,-------,+++++++,+ 19.06,+ 21.71,+ 19.40,+ 20.48,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       187,2024/12/27 08:12:51,  0,-------,+++++++,+ 19.01,+ 21.76,+ 19.37,+ 20.45,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       188,2024/12/27 08:17:51,  0,-------,+++++++,+ 19.16,+ 21.64,+ 19.50,+ 20.50,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       189,2024/12/27 08:22:51,  0,-------,+++++++,+ 19.11,+ 21.82,+ 19.45,+ 20.53,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       190,2024/12/27 08:27:51,  0,-------,+++++++,+ 19.09,+ 21.71,+ 19.71,+ 20.48,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       191,2024/12/27 08:32:51,  0,-------,+++++++,+ 19.19,+ 21.79,+ 19.58,+ 20.53,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       192,2024/12/27 08:37:51,  0,-------,+++++++,+ 19.14,+ 21.89,+ 19.50,+ 20.50,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       193,2024/12/27 08:42:51,  0,-------,+++++++,+ 19.09,+ 21.89,+ 19.47,+ 20.48,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       194,2024/12/27 08:47:51,  0,-------,+++++++,+ 19.78,+ 21.76,+ 19.76,+ 20.71,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       195,2024/12/27 08:52:51,  0,-------,+++++++,+ 19.27,+ 22.02,+ 19.58,+ 20.61,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       196,2024/12/27 08:57:51,  0,-------,+++++++,+ 19.19,+ 21.97,+ 19.58,+ 20.61,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       197,2024/12/27 09:02:51,  0,-------,+++++++,+ 19.73,+ 21.95,+ 19.86,+ 20.79,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       198,2024/12/27 09:07:51,  0,-------,+++++++,+ 19.24,+ 22.05,+ 19.60,+ 20.61,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       199,2024/12/27 09:12:51,  0,-------,+++++++,+ 19.19,+ 22.07,+ 19.63,+ 20.61,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       200,2024/12/27 09:17:51,  0,-------,+++++++,+ 19.32,+ 21.89,+ 19.73,+ 20.61,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       201,2024/12/27 09:22:51,  0,-------,+++++++,+ 19.40,+ 22.10,+ 19.76,+ 20.68,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       202,2024/12/27 09:27:51,  0,-------,+++++++,+ 19.19,+ 22.07,+ 19.71,+ 20.63,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       203,2024/12/27 09:32:51,  0,-------,+++++++,+ 19.22,+ 22.10,+ 19.65,+ 20.63,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       204,2024/12/27 09:37:51,  0,-------,+++++++,+ 19.58,+ 21.92,+ 19.86,+ 20.71,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       205,2024/12/27 09:42:51,  0,-------,+++++++,+ 19.42,+ 22.07,+ 19.81,+ 20.71,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       206,2024/12/27 09:47:51,  0,-------,+++++++,+ 19.24,+ 22.15,+ 19.71,+ 20.63,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       207,2024/12/27 09:52:51,  0,-------,+++++++,+ 19.22,+ 22.15,+ 19.71,+ 20.63,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       208,2024/12/27 09:57:51,  0,-------,+++++++,+ 19.32,+ 22.00,+ 19.83,+ 20.66,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       209,2024/12/27 10:02:51,  0,-------,+++++++,+ 19.47,+ 22.07,+ 19.86,+ 20.74,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       210,2024/12/27 10:07:51,  0,-------,+++++++,+ 19.29,+ 22.15,+ 19.73,+ 20.68,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       211,2024/12/27 10:12:51,  0,-------,+++++++,+ 19.24,+ 22.18,+ 19.71,+ 20.66,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       212,2024/12/27 10:17:51,  0,-------,+++++++,+ 19.94,+ 22.02,+ 19.94,+ 20.81,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       213,2024/12/27 10:22:51,  0,-------,+++++++,+ 19.32,+ 22.10,+ 19.76,+ 20.68,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       214,2024/12/27 10:27:51,  0,-------,+++++++,+ 19.37,+ 22.15,+ 19.83,+ 20.71,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       215,2024/12/27 10:32:51,  0,-------,+++++++,+ 19.32,+ 22.07,+ 19.89,+ 20.66,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       216,2024/12/27 10:37:51,  0,-------,+++++++,+ 19.45,+ 22.15,+ 19.99,+ 20.68,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       217,2024/12/27 10:42:51,  0,-------,+++++++,+ 19.32,+ 22.15,+ 19.76,+ 20.68,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       218,2024/12/27 10:47:51,  0,-------,+++++++,+ 19.40,+ 22.15,+ 19.78,+ 20.71,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       219,2024/12/27 10:52:51,  0,-------,+++++++,+ 19.42,+ 22.05,+ 19.94,+ 20.74,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       220,2024/12/27 10:57:51,  0,-------,+++++++,+ 20.48,+ 22.05,+ 20.07,+ 21.07,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       221,2024/12/27 11:02:51,  0,-------,+++++++,+ 19.58,+ 22.02,+ 19.94,+ 20.76,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       222,2024/12/27 11:07:51,  0,-------,+++++++,+ 19.76,+ 22.10,+ 20.01,+ 20.86,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       223,2024/12/27 11:12:51,  0,-------,+++++++,+ 19.40,+ 22.25,+ 19.86,+ 20.79,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       224,2024/12/27 11:17:51,  0,-------,+++++++,+ 19.55,+ 22.25,+ 19.89,+ 20.79,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       225,2024/12/27 11:22:51,  0,-------,+++++++,+ 19.45,+ 22.28,+ 19.83,+ 20.81,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       226,2024/12/27 11:27:51,  0,-------,+++++++,+ 19.47,+ 22.15,+ 19.96,+ 20.86,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       227,2024/12/27 11:32:51,  0,-------,+++++++,+ 19.50,+ 22.31,+ 19.89,+ 20.84,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       228,2024/12/27 11:37:51,  0,-------,+++++++,+ 19.45,+ 22.20,+ 19.94,+ 20.84,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       229,2024/12/27 11:42:51,  0,-------,+++++++,+ 19.50,+ 22.18,+ 19.94,+ 20.86,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       230,2024/12/27 11:47:51,  0,-------,+++++++,+ 19.60,+ 22.31,+ 19.94,+ 20.89,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       231,2024/12/27 11:52:51,  0,-------,+++++++,+ 19.45,+ 22.25,+ 19.94,+ 20.84,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       232,2024/12/27 11:57:51,  0,-------,+++++++,+ 19.47,+ 22.13,+ 19.96,+ 20.81,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       233,2024/12/27 12:02:51,  0,-------,+++++++,+ 19.47,+ 22.28,+ 19.94,+ 20.86,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       234,2024/12/27 12:07:51,  0,-------,+++++++,+ 19.58,+ 22.28,+ 19.99,+ 20.92,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       235,2024/12/27 12:12:51,  0,-------,+++++++,+ 19.47,+ 22.15,+ 20.07,+ 20.84,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       236,2024/12/27 12:17:51,  0,-------,+++++++,+ 19.47,+ 22.31,+ 19.91,+ 20.86,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       237,2024/12/27 12:22:51,  0,-------,+++++++,+ 19.58,+ 22.18,+ 20.09,+ 20.92,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       238,2024/12/27 12:27:51,  0,-------,+++++++,+ 19.45,+ 22.23,+ 20.07,+ 20.86,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       239,2024/12/27 12:32:51,  0,-------,+++++++,+ 19.50,+ 22.31,+ 19.99,+ 20.86,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       240,2024/12/27 12:37:51,  0,-------,+++++++,+ 19.50,+ 22.36,+ 19.99,+ 20.89,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       241,2024/12/27 12:42:51,  0,-------,+++++++,+ 19.40,+ 22.20,+ 20.04,+ 20.86,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       242,2024/12/27 12:47:51,  0,-------,+++++++,+ 19.45,+ 22.28,+ 20.04,+ 20.86,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       243,2024/12/27 12:52:51,  0,-------,+++++++,+ 19.58,+ 22.41,+ 20.07,+ 20.89,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       244,2024/12/27 12:57:51,  0,-------,+++++++,+ 19.50,+ 22.31,+ 20.09,+ 20.86,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       245,2024/12/27 13:02:51,  0,-------,+++++++,+ 19.45,+ 22.31,+ 20.04,+ 20.86,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       246,2024/12/27 13:07:51,  0,-------,+++++++,+ 19.47,+ 22.41,+ 19.96,+ 20.86,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       247,2024/12/27 13:12:51,  0,-------,+++++++,+ 19.55,+ 22.43,+ 20.01,+ 20.86,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       248,2024/12/27 13:17:51,  0,-------,+++++++,+ 19.55,+ 22.36,+ 20.09,+ 20.89,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       249,2024/12/27 13:22:51,  0,-------,+++++++,+ 19.55,+ 22.33,+ 20.04,+ 20.86,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       250,2024/12/27 13:27:51,  0,-------,+++++++,+ 19.45,+ 22.43,+ 19.96,+ 20.86,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       251,2024/12/27 13:32:51,  0,-------,+++++++,+ 19.45,+ 22.41,+ 19.96,+ 20.86,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       252,2024/12/27 13:37:51,  0,-------,+++++++,+ 19.58,+ 22.31,+ 20.09,+ 20.89,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       253,2024/12/27 13:42:51,  0,-------,+++++++,+ 19.58,+ 22.41,+ 19.99,+ 20.92,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       254,2024/12/27 13:47:51,  0,-------,+++++++,+ 19.63,+ 22.49,+ 19.99,+ 20.92,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       255,2024/12/27 13:52:51,  0,-------,+++++++,+ 19.60,+ 22.41,+ 20.07,+ 20.94,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       256,2024/12/27 13:57:51,  0,-------,+++++++,+ 19.58,+ 22.41,+ 20.09,+ 20.92,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       257,2024/12/27 14:02:51,  0,-------,+++++++,+ 19.60,+ 22.38,+ 20.09,+ 20.97,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       258,2024/12/27 14:07:51,  0,-------,+++++++,+ 19.58,+ 22.46,+ 19.96,+ 20.89,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       259,2024/12/27 14:12:51,  0,-------,+++++++,+ 19.58,+ 22.46,+ 20.07,+ 20.89,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       260,2024/12/27 14:17:51,  0,-------,+++++++,+ 19.55,+ 22.41,+ 20.09,+ 20.94,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       261,2024/12/27 14:22:51,  0,-------,+++++++,+ 19.60,+ 22.43,+ 20.07,+ 20.97,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       262,2024/12/27 14:27:51,  0,-------,+++++++,+ 19.58,+ 22.46,+ 19.99,+ 20.94,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       263,2024/12/27 14:32:51,  0,-------,+++++++,+ 19.60,+ 22.41,+ 20.12,+ 20.94,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       264,2024/12/27 14:37:51,  0,-------,+++++++,+ 19.65,+ 22.36,+ 20.12,+ 20.97,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       265,2024/12/27 14:42:51,  0,-------,+++++++,+ 19.58,+ 22.38,+ 20.09,+ 20.92,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
       266,2024/12/27 14:47:51,  0,-------,+++++++,+ 19.58,+ 22.51,+ 20.01,+ 20.94,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
