ベンダ,"GRAPHTEC Corporation"
モデル,"GL840"
バージョン,"Ver1.61  "
最大CH数,20
GS開始CH,20
WL開始CH,20
RT開始CH,20
WLユニット,Off,Off,Off,Off,Off
RTユニット,Off,Off,Off,Off,Off
RT最大CH,0,0,0,0,0
最大ロジックCH数,4
Logic/Pulse,Off,Off,Off,Off,Off,Off,Off
温度単位,C
測定間隔,5min
測定点数,284       
トリガ点,0         
開始時刻,2024-12-26,16:42:47
終了時刻,2024-12-27,16:17:51
トリガ時刻,2024-12-26,16:42:51
アンプ設定
CH,信号名,アンプ,入力,レンジ,温度レンジ,フィルタ,スパン,,単位,線色,,,線幅
CH1," CH1","M",TEMP,PT,100degC,Off,+50.00,-60.00,[degC],28,5,6,0
CH2," CH2","M",TEMP,PT1000,100degC,Off,+50.00,-60.00,[degC],0,13,23,0
CH3," CH3","M",TEMP,PT,100degC,Off,+50.00,-60.00,[degC],9,22,8,0
CH4," CH4","M",TEMP,PT,100degC,Off,+50.00,-60.00,[degC],21,0,21,0
CH5," CH5","M",TEMP,PT,100degC,Off,+50.00,-60.00,[degC],28,16,2,0
CH6," CH6","M",TEMP,PT,100degC,Off,+50.00,-60.00,[degC],5,23,30,0
CH7," CH7","M",TEMP,PT1000,100degC,Off,+50.00,-60.00,[degC],30,23,1,0
演算設定
CH,左項,演算子,右項,スケーリング,スパン,,単位
測定値
番号,日付/時間,ms,CH1,CH2,CH3,CH4,CH5,CH6,CH7,Alarm1-10,Alarm11-20,AlarmOut
        28,2024/12/26 18:57:51,  0,+ 18.83,+++++++,+ 18.47,+ 21.15,+ 18.68,+ 19.71,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
        29,2024/12/26 19:02:51,  0,-------,+++++++,+ 19.01,+ 21.15,+ 18.93,+ 20.04,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
        30,2024/12/26 19:07:51,  0,-------,+++++++,+ 18.55,+ 21.25,+ 18.78,+ 19.83,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
        31,2024/12/26 19:12:51,  0,-------,+++++++,+ 18.55,+ 21.25,+ 18.75,+ 19.83,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
        32,2024/12/26 19:17:51,  0,-------,+++++++,+ 18.68,+ 21.20,+ 18.80,+ 19.83,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
        33,2024/12/26 19:22:51,  0,-------,+++++++,+ 18.55,+ 21.22,+ 18.78,+ 19.81,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
        34,2024/12/26 19:27:51,  0,-------,+++++++,+ 18.62,+ 21.12,+ 18.91,+ 19.91,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
        35,2024/12/26 19:32:51,  0,-------,+++++++,+ 18.68,+ 21.25,+ 18.86,+ 19.96,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
        36,2024/12/26 19:37:51,  0,-------,+++++++,+ 18.55,+ 21.25,+ 18.80,+ 19.91,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
        37,2024/12/26 19:42:51,  0,-------,+++++++,+ 18.55,+ 21.22,+ 18.80,+ 19.94,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
        38,2024/12/26 19:47:51,  0,-------,+++++++,+ 18.57,+ 21.22,+ 18.80,+ 19.96,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
        39,2024/12/26 19:52:51,  0,-------,+++++++,+ 18.62,+ 21.30,+ 18.80,+ 19.96,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
        40,2024/12/26 19:57:51,  0,-------,+++++++,+ 18.65,+ 21.28,+ 18.80,+ 19.91,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
        41,2024/12/26 20:02:51,  0,-------,+++++++,+ 18.57,+ 21.25,+ 18.80,+ 19.91,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
        42,2024/12/26 20:07:51,  0,-------,+++++++,+ 18.62,+ 21.33,+ 18.80,+ 19.96,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
        43,2024/12/26 20:12:51,  0,-------,+++++++,+ 18.60,+ 21.25,+ 18.86,+ 19.96,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
        44,2024/12/26 20:17:51,  0,-------,+++++++,+ 18.55,+ 21.30,+ 18.80,+ 19.94,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
        45,2024/12/26 20:22:51,  0,-------,+++++++,+ 18.75,+ 21.25,+ 19.04,+ 19.99,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
        46,2024/12/26 20:27:51,  0,-------,+++++++,+ 18.73,+ 21.33,+ 18.98,+ 20.04,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
        47,2024/12/26 20:32:51,  0,-------,+++++++,+ 18.65,+ 21.38,+ 18.91,+ 19.99,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
        48,2024/12/26 20:37:51,  0,-------,+++++++,+ 18.62,+ 21.38,+ 18.91,+ 20.35,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
        49,2024/12/26 20:42:51,  0,-------,+++++++,+ 18.68,+ 21.25,+ 19.09,+ 20.37,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
        50,2024/12/26 20:47:51,  0,-------,+++++++,+ 18.80,+ 21.35,+ 19.06,+ 20.48,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
        51,2024/12/26 20:52:51,  0,-------,+++++++,+ 18.70,+ 21.40,+ 18.98,+ 20.45,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
        52,2024/12/26 20:57:51,  0,-------,+++++++,+ 18.68,+ 21.33,+ 19.06,+ 20.40,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
        53,2024/12/26 21:02:51,  0,-------,+++++++,+ 19.32,+ 21.25,+ 19.35,+ 20.71,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
        54,2024/12/26 21:07:51,  0,-------,+++++++,+ 18.80,+ 21.40,+ 19.06,+ 20.48,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
        55,2024/12/26 21:12:51,  0,-------,+++++++,+ 18.73,+ 21.43,+ 19.06,+ 20.45,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
        56,2024/12/26 21:17:51,  0,-------,+++++++,+ 18.78,+ 21.40,+ 19.09,+ 20.48,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
        57,2024/12/26 21:22:51,  0,-------,+++++++,+ 19.06,+ 21.40,+ 19.27,+ 20.55,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
        58,2024/12/26 21:27:51,  0,-------,+++++++,+ 18.83,+ 21.43,+ 19.16,+ 20.48,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
        59,2024/12/26 21:32:51,  0,-------,+++++++,+ 18.80,+ 21.48,+ 19.09,+ 20.48,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
        60,2024/12/26 21:37:51,  0,-------,+++++++,+ 18.80,+ 21.51,+ 19.06,+ 20.48,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
        61,2024/12/26 21:42:51,  0,-------,+++++++,+ 18.80,+ 21.38,+ 19.27,+ 20.48,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
        62,2024/12/26 21:47:51,  0,-------,+++++++,+ 19.32,+ 21.46,+ 19.45,+ 20.74,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
        63,2024/12/26 21:52:51,  0,-------,+++++++,+ 18.83,+ 21.48,+ 19.14,+ 20.50,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
        64,2024/12/26 21:57:51,  0,-------,+++++++,+ 18.80,+ 21.51,+ 19.11,+ 20.53,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
        65,2024/12/26 22:02:51,  0,-------,+++++++,+ 18.93,+ 21.43,+ 19.32,+ 20.55,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
        66,2024/12/26 22:07:51,  0,-------,+++++++,+ 19.83,+ 21.40,+ 19.42,+ 20.94,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
        67,2024/12/26 22:12:51,  0,-------,+++++++,+ 18.83,+ 21.46,+ 19.16,+ 20.55,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
        68,2024/12/26 22:17:51,  0,-------,+++++++,+ 18.75,+ 21.40,+ 19.14,+ 20.48,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
        69,2024/12/26 22:22:51,  0,-------,+++++++,+ 19.42,+ 21.33,+ 19.24,+ 20.71,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
        70,2024/12/26 22:27:51,  0,-------,+++++++,+ 18.80,+ 21.43,+ 19.16,+ 20.55,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
        71,2024/12/26 22:32:51,  0,-------,+++++++,+ 18.83,+ 21.51,+ 19.11,+ 20.55,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
        72,2024/12/26 22:37:51,  0,-------,+++++++,+ 18.83,+ 21.40,+ 19.27,+ 20.58,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
        73,2024/12/26 22:42:51,  0,-------,+++++++,+ 18.91,+ 21.38,+ 19.32,+ 20.61,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
        74,2024/12/26 22:47:51,  0,-------,+++++++,+ 18.75,+ 21.38,+ 19.19,+ 20.61,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
        75,2024/12/26 22:52:51,  0,-------,+++++++,+ 19.11,+ 21.35,+ 19.32,+ 20.63,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
        76,2024/12/26 22:57:51,  0,-------,+++++++,+ 18.83,+ 21.48,+ 19.22,+ 20.61,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
        77,2024/12/26 23:02:51,  0,-------,+++++++,+ 18.75,+ 21.43,+ 19.14,+ 20.53,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
        78,2024/12/26 23:07:51,  0,-------,+++++++,+ 18.80,+ 21.43,+ 19.11,+ 20.50,-------,LLLLLLLLLL,LLLLLLLLLL,LLLL
